guest_id,membership_number,points_balance,status,tier_id
71,MBR-1071,1100,Active,2
72,MBR-1072,790,Active,1
73,MBR-1073,2100,Active,2
74,MBR-1074,250,Active,1
75,MBR-1075,500,Active,1
76,MBR-1076,3600,Active,2
77,MBR-1077,1700,Inactive,2
78,MBR-1078,770,Active,1
79,MBR-1079,290,Active,1
80,MBR-1080,860,Active,1
81,MBR-1081,5900,Active,3
82,MBR-1082,820,Active,1
83,MBR-1083,220,Active,1
84,MBR-1084,920,Active,1
85,MBR-1085,5900,Active,3
86,MBR-1086,1800,Active,2
87,MBR-1087,960,Active,1
88,MBR-1088,3900,Active,2
89,MBR-1089,4400,Active,2
90,MBR-1090,740,Suspended,1
91,MBR-1091,620,Active,1
92,MBR-1092,950,Active,1
93,MBR-1093,3900,Active,2
94,MBR-1094,840,Active,1
95,MBR-1095,5700,Active,3
96,MBR-1096,1500,Active,2
97,MBR-1097,820,Active,1
98,MBR-1098,520,Active,1
99,MBR-1099,570,Active,1
100,MBR-1100,4600,Active,2
101,MBR-1101,830,Active,1
102,MBR-1102,140,Active,1
103,MBR-1103,600,Active,1
104,MBR-1104,730,Active,1
105,MBR-1105,390,Active,1
106,MBR-1106,5700,Active,3
107,MBR-1107,70,Active,1
108,MBR-1108,790,Active,1
109,MBR-1109,960,Active,1
110,MBR-1110,850,Active,1
111,MBR-1111,400,Active,1
112,MBR-1112,900,Active,1
113,MBR-1113,760,Active,1
114,MBR-1114,770,Active,1
115,MBR-1115,90,Active,1
116,MBR-1116,970,Active,1
117,MBR-1117,690,Active,1
118,MBR-1118,610,Active,1
119,MBR-1119,740,Active,1
120,MBR-1120,830,Active,1
121,MBR-1121,1400,Active,2
122,MBR-1122,3300,Active,2
123,MBR-1123,740,Active,1
124,MBR-1124,900,Active,1
125,MBR-1125,880,Active,1
126,MBR-1126,4300,Active,2
127,MBR-1127,890,Active,1
128,MBR-1128,70,Active,1
129,MBR-1129,630,Active,1
130,MBR-1130,310,Active,1
131,MBR-1131,670,Active,1
132,MBR-1132,110,Active,1
133,MBR-1133,29000,Active,3
134,MBR-1134,40,Active,1
135,MBR-1135,190,Active,1
136,MBR-1136,300,Active,1
137,MBR-1137,250,Active,1
138,MBR-1138,6100,Active,3
139,MBR-1139,310,Active,1
140,MBR-1140,340,Active,1
141,MBR-1141,900,Active,1
142,MBR-1142,1700,Active,2
143,MBR-1143,550,Active,1
144,MBR-1144,5000,Active,3
145,MBR-1145,0,Active,1
146,MBR-1146,870,Active,1
147,MBR-1147,720,Active,1
148,MBR-1148,140,Active,1
149,MBR-1149,4000,Active,2
150,MBR-1150,2400,Active,2
151,MBR-1151,810,Active,1
152,MBR-1152,2800,Active,2
153,MBR-1153,4200,Active,2
154,MBR-1154,2100,Active,2
155,MBR-1155,5000,Active,3
156,MBR-1156,2900,Active,2
157,MBR-1157,8000,Active,3
158,MBR-1158,66000,Active,3
159,MBR-1159,7900,Active,3
160,MBR-1160,4900,Active,2
161,MBR-1161,890,Active,1
162,MBR-1162,2000,Active,2
163,MBR-1163,850,Active,1
164,MBR-1164,940,Active,1
165,MBR-1165,410,Active,1
166,MBR-1166,560,Active,1
167,MBR-1167,170,Active,1
168,MBR-1168,730,Active,1
169,MBR-1169,1700,Active,2
170,MBR-1170,1700,Active,2
171,MBR-1171,990,Active,1
172,MBR-1172,820,Active,1
